id_User,assignment,userid,grade,attemptnumber,grupo,userna,tarea,duedate,grade,completionsubmit,lastlogin,timecreated,status,latest
1613,872,839,85,0,105B,24060004,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1736975506,1724646848,submitted,1
1622,872,839,85,0,105B,24060013,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1736560657,1724719806,submitted,1
1648,872,839,85,0,105B,24060039,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1735167395,1724730095,submitted,1
45,872,839,85,0,105B,marbellis.suarez,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1737917807,1682711506,new,1
1635,872,839,85,0,105B,24060026,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1734639436,1724728980,submitted,1
1641,872,839,85,0,105B,24060032,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1737729603,1724729524,submitted,1
1642,872,839,85,0,105B,24060033,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1735176701,1724729608,new,1
1618,872,839,85,0,105B,24060009,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1734756900,1724719281,submitted,1
1628,872,839,85,0,105B,24060019,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1734399656,1724720564,new,1
1643,872,839,85,0,105B,24060034,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1725574563,1724729683,new,1
1620,872,839,85,0,105B,24060011,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1736544439,1724719586,submitted,1
1612,872,839,85,0,105B,24060003,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1734534439,1724646763,submitted,1
1650,872,839,85,0,105B,24060041,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1736879944,1724730235,submitted,1
1651,872,839,85,0,105B,24060042,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1727388102,1724730313,new,1
1624,872,839,85,0,105B,24060015,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1737239685,1724720179,submitted,1
1626,872,839,85,0,105B,24060017,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1734499964,1724720398,submitted,1
1357,872,839,85,0,105B,23060051,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1728071123,1696989989,submitted,1
1748,872,839,85,0,105B,24060048,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1736581711,1724947832,submitted,1
1640,872,839,85,0,105B,24060031,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1737578027,1724729458,new,1
1633,872,839,85,0,105B,24060024,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1737428611,1724728725,submitted,1
1616,872,839,85,0,105B,24060007,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1737589357,1724719100,submitted,1
1631,872,839,85,0,105B,24060022,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1735403746,1724721058,submitted,1
1655,872,839,85,0,105B,24060046,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1736478547,1724730597,submitted,1
1654,872,839,85,0,105B,24060045,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1737259990,1724730520,submitted,1
1639,872,839,85,0,105B,24060030,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1737249577,1724729387,submitted,1
848,872,839,85,0,105B,22060074,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1733789871,1692472098,submitted,1
1637,872,839,85,0,105B,24060028,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1734656817,1724729211,submitted,1
1634,872,839,85,0,105B,24060025,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,100,1,1734662040,1724728899,submitted,1
