idItem,userId,idFeedback,item,pivote,value,completed,course,nameItem
59,1588,8,59,158859,1,1,132,"Selecciona la carrera a la cual perteneces."
60,1588,8,60,158860,1,1,132,"Selecciona el semestre en el que te encuentras"
61,1588,8,61,158861,2,1,132,"¿Con qué género te identificas más?"
62,1588,8,62,158862,1,1,132,"¿En que modalidad te encuentras inscrito?"
63,1588,8,63,158863,1,1,132,"¿Cuál es tu edad actual? "
64,1588,8,64,158864,1,1,132,"¿Cuál es tu estado civil?"
65,1588,8,65,158865,5,1,132,"¿Cuál es tu situación laboral actual?"
66,1588,8,66,158866,3,1,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1588,8,67,158867,2,1,132,"¿Cuál es el máximo estudio de la madre?"
68,1588,8,68,158868,3,1,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1588,8,69,158869,2,1,132,"¿Tienes pareja?"
59,1654,8,59,165459,3,2,132,"Selecciona la carrera a la cual perteneces."
60,1654,8,60,165460,1,2,132,"Selecciona el semestre en el que te encuentras"
61,1654,8,61,165461,2,2,132,"¿Con qué género te identificas más?"
62,1654,8,62,165462,1,2,132,"¿En que modalidad te encuentras inscrito?"
63,1654,8,63,165463,1,2,132,"¿Cuál es tu edad actual? "
64,1654,8,64,165464,1,2,132,"¿Cuál es tu estado civil?"
65,1654,8,65,165465,5,2,132,"¿Cuál es tu situación laboral actual?"
66,1654,8,66,165466,2,2,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1654,8,67,165467,2,2,132,"¿Cuál es el máximo estudio de la madre?"
68,1654,8,68,165468,1,2,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1654,8,69,165469,2,2,132,"¿Tienes pareja?"
81,767,9,81,76781,1,3,75,"Selecciona la carrera a la cual perteneces."
82,767,9,82,76782,5,3,75,"Selecciona el semestre en el que te encuentras"
83,767,9,83,76783,2,3,75,"¿Con qué género te identificas más?"
84,767,9,84,76784,2,3,75,"¿En que modalidad te encuentras inscrito?"
85,767,9,85,76785,3,3,75,"¿Cuál es tu edad actual? "
86,767,9,86,76786,1,3,75,"¿Cuál es tu estado civil?"
87,767,9,87,76787,2,3,75,"¿Cuál es tu situación laboral actual?"
88,767,9,88,76788,1,3,75,"¿Cuál es el máximo grado de estudios del Padre?"
89,767,9,89,76789,2,3,75,"¿Cuál es el máximo estudio de la madre?"
90,767,9,90,76790,2,3,75,"¿Cómo es tu relación con tus amigos(as)?"
91,767,9,91,76791,1,3,75,"¿Tienes pareja?"
81,787,9,81,78781,1,4,75,"Selecciona la carrera a la cual perteneces."
82,787,9,82,78782,5,4,75,"Selecciona el semestre en el que te encuentras"
83,787,9,83,78783,2,4,75,"¿Con qué género te identificas más?"
84,787,9,84,78784,2,4,75,"¿En que modalidad te encuentras inscrito?"
85,787,9,85,78785,3,4,75,"¿Cuál es tu edad actual? "
86,787,9,86,78786,1,4,75,"¿Cuál es tu estado civil?"
87,787,9,87,78787,4,4,75,"¿Cuál es tu situación laboral actual?"
88,787,9,88,78788,1,4,75,"¿Cuál es el máximo grado de estudios del Padre?"
89,787,9,89,78789,1,4,75,"¿Cuál es el máximo estudio de la madre?"
90,787,9,90,78790,2,4,75,"¿Cómo es tu relación con tus amigos(as)?"
